Date,PredictedRisk,StockAllocation,BondAllocation
2007-01-08,1.0893841051835624,0.7583687708876776,0.24163122911232238
2007-01-09,1.0893841051835624,0.7583687708876776,0.24163122911232238
2007-01-10,1.0893841051835624,0.7583687708876776,0.24163122911232238
2007-01-11,1.0893841051835624,0.7583687708876776,0.24163122911232238
2007-01-12,1.0893841051835624,0.7583687708876776,0.24163122911232238
2007-01-16,1.0861595380543863,0.7628783127486303,0.23712168725136973
2007-01-17,1.0829255011839627,0.7674416193896973,0.23255838061030265
2007-01-18,1.0796819096113723,0.7720596578842154,0.22794034211578462
2007-01-19,1.07642867709762,0.7767334186401169,0.2232665813598831
2007-01-22,1.0731657160985568,0.7814639161080786,0.21853608389192136
2007-01-23,1.0698929377370563,0.786252189515625,0.21374781048437497
2007-01-24,1.0666102517744256,0.7910993036282903,0.20890069637170972
2007-01-25,1.0633175665810235,0.796006349539021,0.20399365046097895
2007-01-26,1.0600147891060585,0.8009744454870424,0.19902555451295756
2007-01-29,1.0567018248465347,0.8060047377074895,0.19399526229251052
2007-01-30,1.0533785778153277,0.8110984013131399,0.18890159868686007
2007-01-31,1.0500449505083427,0.8162566412097025,0.18374335879029746
2007-02-01,1.0442805203727041,0.8252929888094048,0.17470701119059517
2007-02-02,1.0384835799820409,0.8345324746748334,0.16546752532516662
2007-02-05,1.0326535744666447,0.8439820384673065,0.15601796153269354
2007-02-06,1.0267899329911265,0.8536489399237324,0.14635106007626764
2007-02-07,1.0208920681037652,0.8635407775389514,0.13645922246104858
2007-02-08,1.0149593750513666,0.8736655085728107,0.12633449142718933
2007-02-09,1.008991231057362,0.8840314704929326,0.11596852950706737
2007-02-12,1.002986994560716,0.8946474039748741,0.10535259602512592
2007-02-13,0.996946004413002,0.9055224775933184,0.09447752240668161
2007-02-14,0.9908675790308117,0.9166663143512142,0.08333368564878585
2007-02-15,0.984751015500411,0.9280890202085597,0.07191097979144034
2007-02-16,1.0195746859541372,0.8657737638434411,0.13422623615655893
2007-02-20,1.05324573511606,0.8113030169928542,0.18869698300714577
2007-02-21,1.0858720324403677,0.7632823397929629,0.2367176602070371
2007-02-22,1.1175456034899536,0.7206294404839209,0.27937055951607914
2007-02-23,1.148345708341827,0.6824914359046278,0.3175085640953722
2007-02-26,1.1783411911726016,0.6481871100819333,0.3518128899180667
2007-02-27,1.2075923014396905,0.6171657805153296,0.38283421948467045
2007-02-28,1.2361521250258727,0.588977453363713,0.411022546636287
2007-03-01,1.2380919206351424,0.5871333239427955,0.4128666760572045
2007-03-02,1.240028473206124,0.5853009035836156,0.41469909641638436
2007-03-05,1.2419617985004563,0.5834800805973386,0.4165199194026614
2007-03-06,1.2438919121525167,0.5816707447146537,0.41832925528534626
2007-03-07,1.2458188296708554,0.5798727870632587,0.42012721293674127
2007-03-08,1.2477425664396093,0.5780861001457693,0.42191389985423067
2007-03-09,1.2496631377198943,0.5763105778180482,0.4236894221819518
2007-03-12,1.2515805586511777,0.574546115267944,0.42545388473205603
2007-03-13,1.2534948442526321,0.5727926089944295,0.4272073910055705
2007-03-14,1.25540600942447,0.5710499567871301,0.4289500432128699
2007-03-15,1.2573140689492557,0.5693180577062381,0.4306819422937619
2007-03-16,1.2512779241498413,0.5748240687118037,0.4251759312881963
2007-03-19,1.2452122588937384,0.5804378627012343,0.4195621372987657
2007-03-20,1.239116635622242,0.5861626396220069,0.4138373603779931
2007-03-21,1.2329906058593125,0.5920017274549298,0.40799827254507015
2007-03-22,1.226833709826379,0.597958588685769,0.402041411314231
2007-03-23,1.2206454760394836,0.6040368271735941,0.3959631728264059
2007-03-26,1.2144254208877792,0.6102401954445051,0.38975980455549486
2007-03-27,1.208173048192305,0.6165726024418214,0.38342739755817856
2007-03-28,1.201887848743912,0.6230381217664059,0.37696187823359406
2007-03-29,1.1955692998191036,0.6296410004437061,0.3703589995562939
2007-03-30,1.1892168646725074,0.6363856682572061,0.3636143317427939
2007-04-02,1.1795073435627605,0.6469060476305812,0.35309395236941876
2007-04-03,1.1697185578650164,0.6577786136183795,0.3422213863816205
2007-04-04,1.1598485071858862,0.6690213444668837,0.33097865553311634
2007-04-05,1.149895105549424,0.6806534632017407,0.3193465367982593
2007-04-09,1.1398561761816248,0.6926955472620427,0.30730445273795726
2007-04-10,1.1297294458790157,0.705169649930079,0.294830350069921
2007-04-11,1.1195125389200693,0.7180994350645135,0.28190056493548654
2007-04-12,1.109202970473242,0.7315103268691137,0.26848967313088634
2007-04-13,1.0987981394498176,0.7454296766917977,0.2545703233082023
2007-04-16,1.102833460495378,0.739984530397059,0.260015469602941
