Date,PredictedRisk,StockAllocation,BondAllocation,StockAllocation_Optimal,BondAllocation_Optimal
2007-01-08,1.0893841051835624,0.7583687708876776,0.2416312291123223,1.0,0.0
2007-01-09,1.0893841051835624,0.7583687708876776,0.2416312291123223,1.0,0.0
2007-01-10,1.0893841051835624,0.7583687708876776,0.2416312291123223,1.0,0.0
2007-01-11,1.0893841051835624,0.7583687708876776,0.2416312291123223,1.0,0.0
2007-01-12,1.0893841051835624,0.7583687708876776,0.2416312291123223,1.0,0.0
2007-01-16,1.0861595380543865,0.7628783127486303,0.2371216872513697,1.0,0.0
2007-01-17,1.0829255011839627,0.7674416193896973,0.2325583806103026,1.0,0.0
2007-01-18,1.0796819096113723,0.7720596578842154,0.2279403421157846,1.0,0.0
2007-01-19,1.07642867709762,0.7767334186401169,0.2232665813598831,1.0,0.0
2007-01-22,1.0731657160985568,0.7814639161080786,0.2185360838919213,1.0,0.0
2007-01-23,1.0698929377370563,0.786252189515625,0.2137478104843749,1.0,0.0
2007-01-24,1.0666102517744256,0.7910993036282903,0.2089006963717097,1.0,0.0
2007-01-25,1.0633175665810235,0.796006349539021,0.2039936504609789,1.0,0.0
2007-01-26,1.0600147891060585,0.8009744454870424,0.1990255545129575,1.0,0.0
2007-01-29,1.0567018248465347,0.8060047377074895,0.1939952622925105,1.0,0.0
2007-01-30,1.0533785778153275,0.8110984013131399,0.18890159868686,1.0,0.0
2007-01-31,1.050044950508343,0.8162566412097025,0.1837433587902974,1.0,0.0
2007-02-01,1.044280520372704,0.8252929888094048,0.1747070111905951,1.0,0.0
2007-02-02,1.0384835799820409,0.8345324746748334,0.1654675253251666,1.0,0.0
2007-02-05,1.0326535744666447,0.8439820384673065,0.1560179615326935,1.0,0.0
2007-02-06,1.0267899329911263,0.8536489399237324,0.1463510600762676,1.0,0.0
2007-02-07,1.0208920681037652,0.8635407775389514,0.1364592224610485,1.0,0.0
2007-02-08,1.0149593750513666,0.8736655085728107,0.1263344914271893,1.0,0.0
2007-02-09,1.008991231057362,0.8840314704929326,0.1159685295070673,1.0,0.0
2007-02-12,1.002986994560716,0.8946474039748741,0.1053525960251259,1.0,0.0
2007-02-13,0.996946004413002,0.9055224775933184,0.0944775224066816,1.0,0.0
2007-02-14,0.9908675790308116,0.9166663143512142,0.0833336856487858,1.0,0.0
2007-02-15,0.984751015500411,0.9280890202085595,0.0719109797914403,1.0,0.0
2007-02-16,1.0195746859541372,0.8657737638434411,0.1342262361565589,1.0,0.0
2007-02-20,1.05324573511606,0.8113030169928542,0.1886969830071457,1.0,0.0
2007-02-21,1.0858720324403677,0.7632823397929629,0.2367176602070371,1.0,0.0
2007-02-22,1.1175456034899536,0.7206294404839209,0.2793705595160791,1.0,0.0
2007-02-23,1.148345708341827,0.6824914359046278,0.3175085640953722,0.9963378626344931,0.0036621373655069123
2007-02-26,1.1783411911726016,0.6481871100819333,0.3518128899180667,0.9462585548641361,0.053741445135863875
2007-02-27,1.2075923014396903,0.6171657805153296,0.3828342194846704,0.9009719423581456,0.0990280576418544
2007-02-28,1.236152125025873,0.588977453363713,0.411022546636287,0.8598210998010405,0.1401789001989595
2007-03-01,1.2380919206351424,0.5871333239427955,0.4128666760572045,0.8571289400624751,0.1428710599375249
2007-03-02,1.240028473206124,0.5853009035836156,0.4146990964163843,0.8544538738446944,0.1455461261553056
2007-03-05,1.2419617985004563,0.5834800805973386,0.4165199194026614,0.8517957380983046,0.14820426190169544
2007-03-06,1.2438919121525167,0.5816707447146537,0.4183292552853462,0.8491543718462098,0.1508456281537902
